ID,Cluster
cargah--turku--sofyan--harman_da_yeri--afyon,1
dilkeshaveran--agirsemai--agir_aksaksemai--hal-i_ruhsarina--kucuk_mehmet_aga,0
dilkeshaveran--beste--havi--kil_saba--ali_rifat_cagatay,3
dilkeshaveran--beste--zencir--sukufe_zari--kucuk_mehmet_aga,0
dilkeshaveran--kupe--evfer--alemin--ahmet_avni_konuk,0
dilkeshaveran--sarki--aksak--acildi_bahcede--zeki_arif_ataergin,0
dilkeshaveran--sarki--duyek--gel_benim--radife_erten,1
dilkeshaveran--sazsemaisi--aksaksemai----ismail_fenni_ertugrul,3
dilkeshaveran--seyir--duyek--1--erol_bingol,2
dilkeshaveran--seyir--duyek--1--sefik_gurmeric,2
dilkeside--kupe--yuruksemai_ii--dilkeside_faslinin--ahmet_avni_konuk,2
dilkusa--sazsemaisi--aksaksemai----arif_mehmet_aga,3
dilnisin--kupe--devrirevanihindi--bir--ahmet_avni_konuk,2
dugah--ilahi--agircenber--gel_ey_salik--dede_efendi,0
dugah--kar--hafif--pek_sevdim--haci_faik_bey,0
dugah--kupe--duyek--itdiguycun--ahmet_avni_konuk,0
dugah--seyir--sofyan--1--erol_bingol,0
dugah--seyir--sofyan--1--sefik_gurmeric,0
dugah--turku--evfer--aksarayda_cevirdiler--,0
dugah--yuruksemai--yuruksemai--der_yemeni--seyhulislam_esad_efendi,0
dugah-maye--kupe--duyek--bir--ahmet_avni_konuk,0
dugah-maye--oyunhavasi--sofyan--dugun_havasi--anonim,0
eski_sipihr--pesrev--muhammes----dilhayat_kalfa,2
evcara--kupe--evfer--kaddi--ahmet_avni_konuk,2
evcara--sarki--aksak--gel_ey--dede_efendi,2
evcara--sarki--aksak--sen_hangi--ozgen_gurbuz,1
evcara--sarki--aksaksemai--husnune_mail--dede_efendi,1
evcara--sarki--devrihindi--olup_askinla--haci_arif_bey,3
evcara--sazsemaisi--aksaksemai----dilhayat_kalfa,0
evcara--seyir--semai--1--rauf_yekta,2
evcara--seyir--sofyan--1--erol_bingol,2
evcara--seyir--sofyan--1--sefik_gurmeric,2
evcara--yuruksemai--senginsemai--saki_cekemem--kucuk_mehmet_aga,3
evchuzi--turku--aksak--ben_havada--,1
evic--agirsemai--aksaksemai--ben_aglar_idim--tanburi_ali_efendi,3
evic--aranagme--senginsemai--1--,3
evic--aranagme--sofyan--1--,0
evic--aranagme--turkaksagi--1--,2
evic--karce--nimhafif--geldi_cevher--ebubekir_aga,1
evic--karsilama--yuruksemai_ii--on_kerre--,1
evic--kupe--evfer--ol--ahmet_avni_konuk,2
evic--pesrev--devrikebir----tanburi_kucuk_osman_bey,3
evic--rumeliturkusu--aksak--atladim_bahcene--rumeli,1
evic--rumeliturkusu--aksak--elveda_dost--rumeli,0
evic--rumeliturkusu--aksak--sabah_oldu--rumeli,3
evic--rumeliturkusu--curcuna--calin_davullari--rumeli,0
evic--rumeliturkusu--sofyan--sahane_gozler--,3
evic--sarki--agiraksak--bir_goren--ali_icinger,1
evic--sarki--agiraksak--bir_sebeple--kazasker_mustafa_izzet_efendi,1
evic--sarki--agiraksak--bulbul_asa--dellalzade_haci_ismail_efendi,1
evic--sarki--aksak--sen_boyle--omer_sami_gupgup,1
evic--sarki--aksak--sevdim_bir_gonca-i_rana--dede_efendi,3
evic--sarki--aksaksemai--nazirin_yok--tanburi_cemil_bey,1
evic--sarki--aydin--kakulleri_lule--tanburi_mustafa_cavus,3
evic--sarki--ciftesofyan--ey_suh-i--suyolcuzade_salih_efendi,3
evic--sarki--devrihindi_ii--otme_ey--rifat_bey,2
evic--sarki--duyek--doguyor_omrume--sadettin_kaynak,1
evic--sarki--senginsemai--lerzan_ediyor--lemi_atli,3
evic--sarki--sofyan--distan_viran--fahri_kopuz,1
evic--sarki--turkaksagi--gozyaslariniz_kalbime--selahaddin_pinar,1
evic--sarki--turkaksagi--kalbimde_acilmis--isak_varon,1
evic--sazsemaisi--aksaksemai----muallim_ismail_hakki_bey,3
evic--sazsemaisi--aksaksemai----sedat_oztoprak,3
evic--seyir--devrihindi--1--erol_bingol,2
evic--seyir--semai--1--rauf_yekta,2
evic--seyir--sofyan--1--sefik_gurmeric,2
evic--turku--agiraksak--karanfilin_moruna--canakkale,3
evic--turku--aksak--ayagina_giymis--,0
evic--turku--aksak--ey_benim--,3
evic--turku--aksak--havada_turna--istanbul,3
evic--turku--sofyan--guvercin_ucuverdi--,3
evicbuselik--kupe--agiraksak--o--ahmet_avni_konuk,2
evic_horasani--pesrev--duyek--1--kanuni_mehmed_bey,1
ferahfeza--agirsemai--senginsemai--bir_dilber-i--dede_efendi,3
ferahfeza--beste--firengifer--ey_kasi--dede_efendi,0
ferahfeza--kupe--yuruksemai--bir--ahmet_avni_konuk,2
ferahfeza--pesrev--devrikebir----dede_efendi,3
ferahfeza--pesrev--hafif--son_pesrev--zeki_mehmet_aga,0
ferahfeza--pesrev--muhammes----tanburi_cemil_bey,3
ferahfeza--sarki--aydin--mehtapta_guzel--muallim_ismail_hakki_bey,0
ferahfeza--sarki--raksaksagi--erdi_bahar--muallim_ismail_hakki_bey,0
ferahfeza--sarki--semai--bulbul-i_hos_neva--dede_efendi,1
ferahfeza--sarki--yuruksemai_ii--dinlendi_basim--lemi_atli,0
ferahfeza--sazsemaisi--aksaksemai----serif_muhittin_targan,0
ferahfeza--sazsemaisi--aksaksemai----tanburi_cemil_bey,3
ferahfeza--seyir--semai--1--rauf_yekta,2
ferahfeza--seyir--sofyan--1--erol_bingol,2
ferahfeza--seyir--sofyan--1--sefik_gurmeric,2
ferahfeza--seyir--sofyan--2--sefik_gurmeric,2
